neut	np	cp	prot	
0	0	0	0	1908	1	22	3	99	3	9	2	2	0	0	0	73	0	3	0	0	0	0	0	0	0	0	0	24	10	7	0	2	1	0	0	0	0	0	0	
0	1	0	0	20	45	9	3	1	15	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	10	0	3	0	3	0	0	0	0	0	0	
0	0	1	0	38	9	711	7	28	7	91	4	2	0	3	1	2	1	47	1	0	0	8	1	0	0	0	0	2	7	23	4	2	2	0	0	0	0	0	0	
0	1	1	0	0	7	26	19	0	13	2	12	0	3	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	
0	0	0	1	120	5	33	2	4451	27	87	2	90	2	3	1	3	0	0	0	93	1	2	0	1	0	1	0	21	11	0	0	15	7	8	0	1	1	0	0	
0	1	0	1	3	12	13	3	67	490	33	36	0	22	1	1	1	0	0	0	1	17	0	0	0	0	0	1	0	3	0	0	2	12	0	0	0	2	0	0	
0	0	1	1	3	0	51	2	102	16	1212	27	33	5	78	1	1	0	5	0	5	0	76	2	1	1	1	0	0	0	7	1	4	4	11	2	0	0	1	0	
0	1	1	1	0	2	3	6	1	41	48	65	2	13	5	10	0	0	0	1	0	2	3	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	2	7	1	1	0	114	2	47	0	1690	16	158	3	1	0	0	0	1	0	0	0	18	0	5	0	4	3	0	0	2	1	0	0	32	8	4	0	
0	1	0	2	0	0	1	0	6	47	21	17	54	290	42	38	0	1	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	3	0	0	1	15	0	0	
0	0	1	2	4	0	3	0	3	0	123	0	97	14	480	18	0	0	1	0	0	0	6	1	6	0	15	0	2	1	1	0	1	0	1	0	2	2	1	0	
0	1	1	2	0	0	0	1	1	1	6	10	1	36	38	53	0	0	0	0	0	0	0	1	0	2	1	1	0	1	0	1	0	0	0	0	1	1	0	1	
1	0	0	0	11	0	6	0	0	0	0	0	0	0	0	0	2317	2	46	0	134	1	7	2	0	0	0	0	26	1	41	0	2	0	1	0	0	0	0	0	
1	1	0	0	2	1	4	2	2	3	0	0	0	0	0	0	11	32	6	7	2	12	1	1	0	0	0	1	0	5	1	3	0	2	0	0	0	0	0	0	
1	0	1	0	0	0	23	0	0	1	5	2	0	0	1	0	13	1	538	3	26	3	111	1	3	0	1	0	1	0	15	0	1	0	13	0	0	0	0	0	
1	1	1	0	0	0	4	2	0	2	1	0	0	0	0	0	0	3	10	5	0	3	3	5	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	
1	0	0	1	1	0	0	0	48	0	9	0	8	0	3	1	164	2	27	1	5789	12	134	3	101	0	4	0	5	1	4	0	27	1	24	1	15	0	1	0	
1	1	0	1	0	3	8	0	18	37	26	12	0	3	1	0	3	4	8	9	44	332	33	14	3	17	0	1	3	2	1	0	1	9	5	2	0	4	0	0	
1	0	1	1	0	0	4	0	7	0	71	2	3	0	10	0	7	1	43	0	62	3	1208	7	31	0	44	1	1	0	4	0	2	0	21	0	2	0	7	0	
1	1	1	1	0	0	1	1	0	6	18	8	0	1	3	3	0	0	1	2	0	12	22	21	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	
1	0	0	2	0	0	0	0	2	0	5	0	56	0	27	0	22	0	4	0	146	0	68	0	1946	1	115	0	4	0	0	0	5	0	5	0	83	1	39	0	
1	1	0	2	0	0	0	0	0	1	7	2	8	21	26	8	1	2	0	0	5	17	13	15	26	156	16	15	0	0	0	0	0	0	0	0	2	7	0	0	
1	0	1	2	0	0	0	0	0	0	8	0	5	0	55	2	2	0	1	0	6	1	143	0	78	2	394	3	0	0	1	0	0	0	3	0	7	0	16	0	
1	1	1	2	0	0	0	0	0	0	0	1	0	2	10	8	0	0	0	0	0	1	4	3	0	9	6	13	0	0	0	0	0	0	0	0	0	1	0	1	
2	0	0	0	13	1	0	1	1	0	1	0	0	0	0	0	17	1	1	0	0	3	2	0	0	0	0	0	4612	38	29	1	88	3	6	0	4	0	0	0	
2	1	0	0	82	30	22	2	6	8	0	0	0	0	0	1	6	4	1	0	0	2	0	0	0	0	0	0	160	2094	25	13	1	63	0	0	0	1	0	0	
2	0	1	0	27	0	19	0	10	5	7	1	0	0	0	0	265	2	102	2	19	2	12	0	0	0	2	0	110	8	630	6	43	4	49	1	5	0	2	0	
2	1	1	0	10	3	17	5	2	2	4	2	0	0	1	0	3	10	11	5	0	4	0	2	0	0	0	0	4	24	29	12	0	11	0	0	0	2	0	0	
2	0	0	1	3	0	2	0	13	6	5	1	3	0	2	0	35	1	0	0	27	0	2	1	3	0	1	0	277	8	44	3	5095	48	54	0	235	2	4	0	
2	1	0	1	11	16	14	3	84	197	26	5	8	16	4	0	4	9	2	0	4	78	1	0	0	0	0	0	16	147	11	9	78	1791	11	9	2	65	0	0	
2	0	1	1	2	0	9	1	47	16	60	2	18	4	15	0	21	0	59	0	501	12	306	3	20	0	10	1	12	0	76	0	151	8	706	2	100	1	40	0	
2	1	1	1	0	0	10	2	11	25	37	16	4	11	9	2	0	0	7	2	4	38	8	10	0	6	1	2	0	1	1	5	0	8	11	6	0	6	2	1	
2	0	0	2	0	0	0	0	2	1	3	0	49	3	3	1	0	0	1	0	11	1	3	0	34	0	8	0	53	0	1	0	213	2	56	0	4075	7	87	1	
2	1	0	2	2	1	1	0	17	30	11	1	97	126	19	9	0	0	0	0	2	15	0	0	1	21	0	0	2	14	0	0	4	53	3	4	50	728	4	1	
2	0	1	2	0	0	1	0	3	0	15	0	53	1	61	3	0	0	1	0	24	0	70	0	178	3	100	2	4	0	2	0	5	0	34	0	214	0	220	2	
2	1	1	2	0	0	0	0	0	6	15	5	9	28	28	14	0	0	0	0	1	5	4	1	1	13	6	3	0	0	1	1	0	0	0	0	6	13	2	3	
